(68, 3)
(53, 3)
(76, 5)
(98, 7)
(27, 2)
(35, 5)
(89, 15)
(81, 14)
(71, 14)
(43, 10)
(58, 14)
(41, 10)
(31, 8)
(68, 18)
(66, 18)
(50, 14)
(77, 22)
(67, 23)
(94, 34)
(97, 38)
(53, 23)
(70, 31)
(45, 20)
(90, 44)
(98, 52)
(88, 47)
(18, 10)
(65, 37)
(45, 27)
(91, 55)
(79, 49)
(27, 18)
(65, 44)
(35, 24)
(86, 59)
(93, 64)
(89, 62)
(52, 37)
(66, 47)
(92, 67)
(85, 63)
(89, 68)
(44, 34)
(56, 45)
(49, 40)
(17, 14)
(72, 60)
(57, 48)
(76, 65)
(93, 81)
(76, 67)
(74, 66)
(93, 84)
(70, 64)
(35, 33)
(20531341, 20531252)
(20531349, 20531263)
(20531348, 20531264)
(20531343, 20531262)
(20531344, 20531268)
(20531325, 20531255)
(20531328, 20531258)
(20531330, 20531268)
(20531319, 20531259)
(20531326, 20531267)
(20531325, 20531268)
(20531337, 20531281)
(20531337, 20531288)
(20531301, 20531253)
(40062598, 40062511)
(40062599, 40062513)
(20531321, 20531277)
(20531336, 20531292)
(40062596, 40062512)
(40062596, 40062513)
(20531324, 20531282)
(20531310, 20531269)
(20531292, 20531252)
(20531308, 20531271)
(20531297, 20531261)
(20531319, 20531283)
(40062575, 40062505)
(20531312, 20531277)
(20531332, 20531297)
(20531332, 20531297)
(20531334, 20531301)
(20531346, 20531315)
(40062560, 40062501)
(20531326, 20531297)
(40062583, 40062528)
(40062598, 40062543)
(40062567, 40062514)
(40062594, 40062541)
(40062594, 40062541)
(40062589, 40062537)
(40062559, 40062508)
(20531325, 20531300)
(40062592, 40062544)
(20531342, 20531318)
(40062552, 40062507)
(40062570, 40062525)
(40062580, 40062535)
(20531300, 20531277)
(20531311, 20531288)
(40062577, 40062533)
(40062551, 40062508)
(40062582, 40062539)
(20531350, 20531328)
(20531319, 20531298)
(20531333, 20531312)
(20531346, 20531325)
(79125085, 79125009)
(79125099, 79125023)
(40062596, 40062558)
(20531330, 20531311)
(40062548, 40062511)
(40062552, 40062515)
(40062545, 40062509)
(40062582, 40062546)
(20531297, 20531280)
(20531305, 20531288)
(79125091, 79125028)
(20531336, 20531321)
(20531334, 20531320)
(40062529, 40062502)
(79125063, 79125010)
(20531267, 20531254)
(79125063, 79125013)
(40062527, 40062502)
(40062535, 40062511)
(40062549, 40062525)
(20531312, 20531300)
(40062544, 40062521)
(40062551, 40062528)
(157250098, 157250008)
(40062536, 40062514)
(157250097, 157250011)
(79125088, 79125046)
(157250095, 157250012)
(79125053, 79125013)
(79125058, 79125018)
(79125086, 79125046)
(157250097, 157250018)
(40062591, 40062571)
(79125047, 79125008)
(79125088, 79125049)
(79125097, 79125058)
(20531320, 20531310)
(157250084, 157250008)
(79125053, 79125015)
(157250085, 157250013)
(79125077, 79125041)
(157250072, 157250001)
(40062597, 40062579)
(79125082, 79125047)
(157250085, 157250016)
(157250086, 157250019)
(40062537, 40062520)
(79125091, 79125058)
(40062589, 40062573)
(157250096, 157250036)
(79125034, 79125004)
(79125100, 79125070)
(157250070, 157250013)
(157250078, 157250021)
(79125050, 79125022)
(79125078, 79125050)
(79125082, 79125054)
(79125039, 79125012)
(20531307, 20531300)
(157250078, 157250025)
(40062590, 40062577)
(157250094, 157250044)
(313500098, 313500002)
(157250081, 157250033)
(157250098, 157250050)
(40062547, 40062535)
(40062566, 40062554)
(79125090, 79125067)
(313500091, 313500003)
(157250063, 157250019)
(79125098, 79125076)
(157250074, 157250031)
(157250081, 157250039)
(313500095, 313500013)
(313500084, 313500004)
(157250060, 157250020)
(313500080, 313500001)
(313500089, 313500010)
(313500085, 313500007)
(157250074, 157250035)
(79125021, 79125002)
(20531293, 20531291)
(55, 56)
(92, 96)
(67, 70)
(81, 85)
(17, 18)
(60, 67)
(43, 50)
(16, 21)
(47, 62)
(37, 50)
(45, 65)
(36, 54)
(28, 42)
(23, 38)
(50, 83)
(31, 52)
(14, 27)
(20, 39)
(29, 58)
(29, 63)
(5, 11)
(11, 26)
(27, 65)
(24, 58)
(34, 84)
(30, 78)
(38, 99)
(30, 79)
(37, 100)
(22, 60)
(19, 55)
(24, 70)
(25, 74)
(25, 79)
(27, 86)
(8, 26)
(27, 98)
(12, 45)
(21, 81)
(14, 72)
(13, 100)
(8, 81)
(6, 69)
(3, 71)
(2, 60)
